Indicator Code,Indicator,Definition,Units,Category,Subcategory,Dimension,Dataset,Source,Link,Priority,Note,# Years,# Countries
blasiak-sea-26-16,Sea Surface Temperature anomaly,"The exposure of countries to the impacts of climate change on marine capture fisheries was calculated based on projected sea surface temperature anomalies, as it is linked to levels of primary production and the foundations of marine food webs. Three different representative concentration pathways (RCPs) were used to provide insight into exposure levels in the case of highly successful reduction of greenhouse gas emissions (RCP 2.6 –highly optimistic), more modest emissions reductions (RCP 4.5 –optimistic), and a continued increase in carbon emissions (RCP 8.5 –closer to business-as-usual, somewhat pessimistic).",°C,Input,None,for RCP26 (2016-2050),blasiak,Blasiak et al. 2018,https://doi.org/10.1371/journal.pone.0179632,3.0,,1.0,22.0
blasiak-sea-26-50,Sea Surface Temperature anomaly,"The exposure of countries to the impacts of climate change on marine capture fisheries was calculated based on projected sea surface temperature anomalies, as it is linked to levels of primary production and the foundations of marine food webs. Three different representative concentration pathways (RCPs) were used to provide insight into exposure levels in the case of highly successful reduction of greenhouse gas emissions (RCP 2.6 –highly optimistic), more modest emissions reductions (RCP 4.5 –optimistic), and a continued increase in carbon emissions (RCP 8.5 –closer to business-as-usual, somewhat pessimistic).",°C,Input,None,for RCP26 (2066-2100),blasiak,Blasiak et al. 2018,https://doi.org/10.1371/journal.pone.0179633,3.0,,1.0,22.0
blasiak-sea-45-16,Sea Surface Temperature anomaly,"The exposure of countries to the impacts of climate change on marine capture fisheries was calculated based on projected sea surface temperature anomalies, as it is linked to levels of primary production and the foundations of marine food webs. Three different representative concentration pathways (RCPs) were used to provide insight into exposure levels in the case of highly successful reduction of greenhouse gas emissions (RCP 2.6 –highly optimistic), more modest emissions reductions (RCP 4.5 –optimistic), and a continued increase in carbon emissions (RCP 8.5 –closer to business-as-usual, somewhat pessimistic).",°C,Input,None,for RCP45 (2016-2050),blasiak,Blasiak et al. 2018,https://doi.org/10.1371/journal.pone.0179634,3.0,,1.0,22.0
blasiak-sea-45-50,Sea Surface Temperature anomaly,"The exposure of countries to the impacts of climate change on marine capture fisheries was calculated based on projected sea surface temperature anomalies, as it is linked to levels of primary production and the foundations of marine food webs. Three different representative concentration pathways (RCPs) were used to provide insight into exposure levels in the case of highly successful reduction of greenhouse gas emissions (RCP 2.6 –highly optimistic), more modest emissions reductions (RCP 4.5 –optimistic), and a continued increase in carbon emissions (RCP 8.5 –closer to business-as-usual, somewhat pessimistic).",°C,Input,None,for RCP45 (2066-2100),blasiak,Blasiak et al. 2018,https://doi.org/10.1371/journal.pone.0179635,3.0,,1.0,22.0
blasiak-sea-85-16,Sea Surface Temperature anomaly,"The exposure of countries to the impacts of climate change on marine capture fisheries was calculated based on projected sea surface temperature anomalies, as it is linked to levels of primary production and the foundations of marine food webs. Three different representative concentration pathways (RCPs) were used to provide insight into exposure levels in the case of highly successful reduction of greenhouse gas emissions (RCP 2.6 –highly optimistic), more modest emissions reductions (RCP 4.5 –optimistic), and a continued increase in carbon emissions (RCP 8.5 –closer to business-as-usual, somewhat pessimistic).",°C,Input,None,for RCP85 (2016-2050),blasiak,Blasiak et al. 2018,https://doi.org/10.1371/journal.pone.0179636,3.0,,1.0,22.0
blasiak-sea-85-50,Sea Surface Temperature anomaly,"The exposure of countries to the impacts of climate change on marine capture fisheries was calculated based on projected sea surface temperature anomalies, as it is linked to levels of primary production and the foundations of marine food webs. Three different representative concentration pathways (RCPs) were used to provide insight into exposure levels in the case of highly successful reduction of greenhouse gas emissions (RCP 2.6 –highly optimistic), more modest emissions reductions (RCP 4.5 –optimistic), and a continued increase in carbon emissions (RCP 8.5 –closer to business-as-usual, somewhat pessimistic).",°C,Input,None,for RCP85 (2066-2100),blasiak,Blasiak et al. 2018,https://doi.org/10.1371/journal.pone.0179637,3.0,,1.0,22.0
blasiak-fishers,Number of fishers,"FAO reports data on number of fishers, but the level of detail varies across countries, with some going so far to disaggregate according to gender and deep sea / marine / inland fishing, while others provide aggregate data",People,Sensitivity,None,None,blasiak,FAO,https://doi.org/10.1371/journal.pone.0179638,5.0,,1.0,22.0
blasiak-export,Fisheries export as percentage of total,The share of fisheries exports in total exports was calculated by dividing each country’s total exports by the latest FAO fisheries commodities trade flow data,%,Sensitivity,None,None,blasiak,FAO,https://doi.org/10.1371/journal.pone.0179639,5.0,,1.0,22.0
blasiak-labor,Proportion of EAP working as fishers,"The economically active population comprises all persons of either sex who furnish the supply of labour for the production of economic goods and services, as defined by the System of National Accounts during a specified time-reference period.",%,Sensitivity,None,None,blasiak,ILO,https://doi.org/10.1371/journal.pone.0179640,5.0,,1.0,16.0
blasiak-landings,Total fisheries landings,"Due to interannual variability in fisheries catch volumes, total fisheries landings were calculated as the mean of catches from 2012–2014",Total landings,Sensitivity,None,None,blasiak,FAO,https://doi.org/10.1371/journal.pone.0179641,5.0,,1.0,22.0
