category,subCategory,donor,correct title
European Union,,AGENCIA DE COOPERACION ADELANTE,Agencia de Cooperacion Adelante
European Union,,BRITISH COMMISSION,British Commission
European Union,,European Civil Protection & Humanitarian Aid Operations,European Civil Protection & Humanitarian Aid Operations
European Union,,EUROPEAN COMMISSION,European Commission
European Union,,EUROPEAN ECONOMIC COMMUNITY,European Economic Community
Government,Argentina,AG FRANCAISE DE DVLPP,Agence Française de Développement
Government,Spain,AGENCIA ESPANOLA DE COOPERACION INTERNACIONAL,Agencia Espanola de Cooperacion Internacional
Government,Colombia,AGENCIA SUIZA PARA EL DESARROLLO Y LA COOPERACION (COSUDE),Agencia Suiza Para El desarrollo y La Cooperacion (COSUDE)
Government,Spain,Andalusian Agency for International Cooperation for Development,Andalusian Agency For International Cooperation For development
Government,Argentina,"ARG-MINISTERIO DE TRABAJO, EMP",Ministerio de Trabajo
Government,Australia,AUSTRALIAN AGENCY FOR INTERNATIOANL DEVELOPMENT,Australian Agency For International development
Government,Australia,Australian Agency for International Development (AusAID),Australian Agency For International development (AusAID)
Government,Australia,Australian DFAT,Australian DFAT
Government,Australia,Australian Federal Police,Australian Federal Police
Government,Australia,"AUSTRALIAN GOVERNMENT DEPARTMENT OF INDUSTRY, INNOVATIVE, CLIMATE CHANGE, SCIENCE RESEARCH AND TERTIARY EDUCATION","Australian Government Department of Industry, Innovative, Climate Change, Science Research And Tertiary Education"
Government,Spain,AYUNT AMIENTO EL PRAT DE LLOBREGAT,Ayunt Amiento El Prat de Llobregat
Government,Spain,AYUNTAMIENTO DE BILBAO,Ayuntamiento de Bilbao
Government,Spain,AYUNTAMIENTO DE ZARAGOZA,Ayuntamiento de Zaragoza
Government,Bahrain,Bahrain Institute for Politica,Bahrain Institute For Politica
Government,Barbados,BAR-GOVERNMENT OF BARBADOS,Government of Barbados
Government,Belize,BAR-GOVERNMENT OF BELIZE,Government of Belize
Government,Dominica,BAR-GOVERNMENT OF DOMINICA,Government of Dominica
Government,Saint Lucia,BAR-GOVERNMENT OF ST. LUCIA,Government of St. Lucia
Government,St. Vincent and the Grenadines,BAR-GOVT OF ST VINCENT & THE GRENADIN,Government of St Vincent & The Grenadin
Government,British Virgin Islands,BAR-GOVT OF THE BRITISH VIRGIN,Government of The British Virgin
Government,Spain,BEAZ,BEAZ
Government,Italy,BERGAMO DECENTRALIZED COOP COMMITTEE,Bergamo decentralized Coop Committee
Government,United Kingdom,BRITISH HIGH COMMISSION - SOLO,British High Commission - Solo
Government,Canada,CANADIAN HIGH COMMISSION,Canadian High Commission
